source_id,source_type,title,url,supports_claim,does_not_support,evidence_directness
SRC_ENDOCRINE_2018_MALE_T,clinical_practice_guideline,Endocrine Society 2018 Testosterone Therapy in Men With Hypogonadism,https://www.endocrine.org/clinical-practice-guidelines/testosterone-therapy,"Symptoms/signs plus consistently low testosterone, repeat morning confirmation, LH/FSH cause workup, and major safety exclusions including fertility planning, prostate/breast cancer, elevated hematocrit, severe untreated OSA, severe LUTS, uncontrolled HF, recent MI/stroke, thrombophilia.",Does not support testosterone as a wellness shortcut without medical eligibility.,direct for medical eligibility and safety-gate framework
SRC_AUA_TD_GUIDELINE,urology_guideline,AUA Testosterone Deficiency Guideline,https://www.auanet.org/guidelines-and-quality/guidelines/testosterone-deficiency-guideline,Total testosterone below 300 ng/dL is a reasonable cut-off in support of diagnosis when combined with symptoms/signs.,Does not support treating a lab value alone or wellness goals alone.,direct for diagnostic-threshold support
SRC_ACP_2020_AGE_RELATED_LOW_T,clinical_practice_guideline,ACP 2020 Testosterone Treatment in Adult Men With Age-Related Low Testosterone,https://pubmed.ncbi.nlm.nih.gov/31905405/,"For age-related low testosterone, ACP supports treatment discussion primarily for sexual dysfunction and recommends against initiating testosterone for energy, vitality, physical function, or cognition.",Does not address every organic hypogonadism pathway.,direct for age-related wellness-claim guardrail
SRC_FDA_2025_T_LABEL,FDA_safety_update,FDA 2025 Class-Wide Labeling Changes for Testosterone Products,https://www.fda.gov/drugs/drug-alerts-and-statements/fda-issues-class-wide-labeling-changes-testosterone-products,FDA updated testosterone labeling after TRAVERSE and ABPM studies; added blood-pressure warnings and included CV-safety findings.,Not a reason to ignore BP/CV monitoring or treat testosterone as risk-free.,direct current safety update
SRC_HHS_2026_T_LABEL_REQUEST,HHS_FDA_requested_label_update,HHS 2026 Requested Updates to Testosterone Therapy Labeling,https://www.hhs.gov/press-room/fda-requests-updates-testosterone-therapy-labeling.html,"Requested updates on age-related hypogonadism, prostate cancer risk, and BPH warnings; still recommends prostate-risk assessment, screening, and monitoring; severe BPH data remain limited.",Not a universal clearance for prostate/BPH risk or replacement for clinical guidelines.,current safety/evidence context
SRC_TRAVERSE_NEJM_2023,large_randomized_CV_safety_trial,TRAVERSE Cardiovascular Safety of Testosterone-Replacement Therapy,https://www.nejm.org/doi/full/10.1056/NEJMoa2215025,"In men with hypogonadism and preexisting/high CV risk, TRT was noninferior to placebo for major adverse cardiac events.",Does not prove testosterone is risk-free or appropriate for all wellness clients.,direct CV-safety context in indicated monitored population
SRC_AUA_ASRM_MALE_INFERTILITY,urology_reproductive_guideline,AUA/ASRM Male Infertility Guideline,https://www.auanet.org/guidelines-and-quality/guidelines/male-infertility,Exogenous testosterone can suppress spermatogenesis; fertility intentions require a fertility-preserving pathway review.,Does not support routine exogenous TRT when fertility is desired.,direct fertility gate
SRC_CREATINE_ISSN_POSITION,sports_nutrition_position_stand,ISSN Position Stand: Creatine supplementation and exercise,https://pmc.ncbi.nlm.nih.gov/articles/PMC5469049/,Creatine monohydrate supports strength/power and lean-mass training adaptations in appropriate users.,Does not replace testosterone eligibility logic.,direct sports-nutrition support
SRC_NIH_VITD,NIH_nutrient_reference,NIH Vitamin D Fact Sheet,https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/,Vitamin D supports bone/muscle health; serum 25-OH vitamin D can guide supplementation.,Does not support vitamin D as testosterone replacement.,direct nutrient biology
SRC_NIH_MAGNESIUM,NIH_nutrient_reference,NIH Magnesium Fact Sheet,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,Magnesium supports neuromuscular and metabolic physiology; renal function matters for safety.,Does not support magnesium as TRT substitute.,direct nutrient biology/safety
