record_id,population,hormone_context,wellness_goal,primary_peptide_family,peptide_options,iv_im_support,recommendation_tier,key_safety_gates,do_not_claim,source_ids
HPX_001,women_menopause_BHRT,VMS/systemic menopause symptoms on MHT/BHRT or candidate,energy/fatigue/brain fog after red flags and thyroid/anemia/sleep causes considered,FAM03_MITO_ENERGY,MOTS-c + SS-31 ± Epitalon ± Humanin,Niagen/NR or NAD+ pathway; B-complex/B12; magnesium if renal screen clear; glutathione if redox goal,provider_review_option,MHT contraindication screen; active malignancy review; CV symptoms; renal/liver review; pregnancy status when relevant,No proven BHRT-peptide synergy; no anti-aging guarantee; no disease-treatment claim,SRC_NAMS_2022_HT; SRC_PEPTIDE_STACK_FAMILIES
HPX_002,women_menopause_BHRT,"GSM, skin/hair/nail, collagen, post-weight-loss aesthetic concern","skin glow, hair/nail support, collagen/aesthetic recovery",FAM05_SKIN_HAIR_GLOW,GHK-Cu + aesthetic peptide options; consider BPC/TB only if repair phenotype,Biotin with lab-interference warning; vitamin C; glutathione; B-complex/B12; trace minerals,strong_fit_for_aesthetic_wellness_if_safety_clear,biotin lab interference; acne/hirsutism if androgen therapy; vitamin C renal/G6PD; breast/estrogen-sensitive cancer review if hormonal context,No guaranteed hair growth; do not claim GHK-Cu plus BHRT proven synergy,SRC_UPLOAD_DEMATOS_BHRT; SRC_UPLOAD_SULEIKA_MHT; SRC_PEPTIDE_STACK_FAMILIES
HPX_003,women_menopause_BHRT,Postmenopausal HSDD / sexual wellness after GSM pain addressed,low libido/arousal/sexual vitality,FAM06_SEXUAL_HPG,PT-141 + kisspeptin-10 only as provider-selected review; testosterone pathway only for postmenopausal HSDD after biopsychosocial assessment,Hydration; B-complex/B12; magnesium if stress/tension and renal screen clear,caution_provider_review_only,BP/HR gate; HSDD assessment; GSM/dyspareunia treated first; breast/cancer context; medication review,Do not use testosterone for women's energy/mood/cognition; no guaranteed libido; no peptide-testosterone synergy claim,SRC_GLOBAL_T_WOMEN_2019; SRC_PEPTIDE_STACK_FAMILIES
HPX_004,women_menopause_BHRT,"Body composition, insulin resistance, GLP program, weight management","body composition, appetite/metabolic wellness, postmenopause weight gain",FAM01_GLP_METABOLIC,GLP/GIP anchor ± MOTS-c/AOD/amylin-pathway option per provider review,GLP hydration; B-complex/B12; MIC/lipotropic; L-carnitine; amino support; protein-first plan,strong_fit_if_metabolic_phenotype,GLP GI/dehydration; gallbladder/pancreas red flags; hypoglycemia meds; sarcopenia/protein intake; MHT safety screen,No IV/peptide synergy with estrogen; do not guarantee fat loss; protect lean mass with diet/training,SRC_UPLOAD_SULEIKA_MHT; SRC_PEPTIDE_STACK_FAMILIES
HPX_005,women_menopause_BHRT,"Muscle, bone, recovery, joint pain, training response",lean mass/recovery/bone-support lifestyle adjunct,FAM02_GH_RECOVERY,Sermorelin/ipamorelin or CJC/ipamorelin ± tesamorelin only after risk review,Amino blend; fast recovery IV; B-complex/B12; magnesium if safe; hydration,caution_provider_review,IGF-1/glucose; edema/carpal tunnel; active malignancy; sleep apnea; diabetes/retinopathy; osteoporosis treated separately,Do not claim osteoporosis treatment or GH peptide-BHRT synergy,SRC_NAMS_2022_HT; SRC_PEPTIDE_STACK_FAMILIES
HPX_006,men_hormone_optimization,"Testosterone-centered wellness evaluation, eligibility pending or approved",sexual vitality/libido/erectile confidence,FAM06_SEXUAL_HPG,HPG/sexual peptide family only with provider review; not first-line ED care; fertility pathway first if fertility desired,Hydration; B-complex/B12; magnesium if stress/tension and renal screen clear,caution_provider_review_only,fertility; BP/CV; prostate/PSA; ED vascular/metabolic review; medication review; PT-141 BP/HR,No guaranteed erections/libido; no peptide replaces TRT eligibility; no fertility claim without specialist review,SRC_ENDOCRINE_MEN_T_2018; SRC_AUA_TD; SRC_PEPTIDE_STACK_FAMILIES
HPX_007,men_hormone_optimization,Men’s testosterone optimization plus body composition/metabolic program,"abdominal fat, insulin resistance, weight management, metabolic longevity",FAM01_GLP_METABOLIC,GLP/GIP anchor ± MOTS-c/AOD/amylin option per provider review,Hydration/electrolytes; B-complex/B12; MIC/L-carnitine; amino support; protein-first plan,strong_fit_if_metabolic_phenotype,GLP GI/dehydration; testosterone BP/hematocrit/prostate; lean mass/protein intake; hypoglycemia medication review,Do not claim testosterone+GLP synergy; do not promise fat loss; protect lean mass with resistance training,SRC_ENDOCRINE_MEN_T_2018; SRC_ACP_LOW_T_2020; SRC_PEPTIDE_STACK_FAMILIES
HPX_008,men_hormone_optimization,TRT candidate or wellness client with fatigue/recovery phenotype,"energy, mitochondrial support, recovery, longevity wellness",FAM03_MITO_ENERGY,MOTS-c + SS-31 ± Epitalon ± Humanin,Niagen/NR or NAD+ pathway; B-complex/B12; magnesium if safe; glutathione if redox goal,provider_review_option,TRT CV/BP/hematocrit; active malignancy; renal/liver review; sleep/OSA gate; no stimulant-like claims,No anti-aging guarantee; no TRT-peptide synergy; do not bypass fatigue differential,SRC_FDA_T_2025; SRC_ENDOCRINE_MEN_T_2018; SRC_PEPTIDE_STACK_FAMILIES
HPX_009,men_hormone_optimization,"Strength, lean mass, recovery goals with or without TRT eligibility","training response, recovery, lean support",FAM02_GH_RECOVERY,Sermorelin/ipamorelin or CJC/ipamorelin ± tesamorelin; avoid casual stacking with TRT,Amino blend; B-complex/B12; hydration; magnesium if renal screen clear,high_caution_provider_review,TRT hematocrit/BP/OSA; GH peptide IGF-1/glucose/edema/carpal tunnel/sleep apnea; active malignancy,No anabolic guarantee; no TRT+GH synergy claim; avoid excessive endocrine stacking,SRC_ENDOCRINE_MEN_T_2018; SRC_PEPTIDE_STACK_FAMILIES
HPX_010,men_hormone_optimization,Aesthetic/hair/skin concern while on androgen pathway,"skin quality, hair support, wound/appearance wellness",FAM05_SKIN_HAIR_GLOW,GHK-Cu + aesthetic peptide options,Vitamin C; glutathione; B-complex/B12; biotin with lab warning; trace minerals if selected,provider_review_option,androgenic alopecia/acne screen; biotin lab-interference; prostate/hematocrit/BP gates if TRT; vitamin C renal/G6PD,No guaranteed hair regrowth; do not ignore androgenic side effects,SRC_ENDOCRINE_MEN_T_2018; SRC_PEPTIDE_STACK_FAMILIES
HPX_011,all_hormone_patients,Joint/tendon/repair or pain/recovery complaint,"connective-tissue support, training recovery, joint/tendon wellness",FAM04_REPAIR_CONNECTIVE,BPC-157 + TB-500 ± GHK-Cu/KPV,Amino blend; vitamin C; glutathione; hydration; magnesium if safe,caution_provider_review,acute injury/infection red flags; anticoagulation/surgery context; active cancer review; no delay in diagnosis,No healing guarantee; not a substitute for imaging/PT/orthopedic evaluation,SRC_PEPTIDE_STACK_FAMILIES
HPX_012,all_hormone_patients,"Mood, calm, focus, sleep symptoms during hormone optimization","focus, calm, sleep quality, neuro-wellness",FAM07_NEURO_SLEEP_CALM,Semax + Selank ± DSIP ± Cerebrolysin,Neuro/Brain IV; B-complex/B12; magnesium if safe; hydration; taurine if protocol exists,caution_provider_review,acute neuro symptoms; psychiatric instability/suicidality; sedative/alcohol context; untreated OSA; thyroid/anemia/fatigue differential,Do not treat anxiety/depression/insomnia/ADHD; no hormone-peptide synergy claim,SRC_ACP_LOW_T_2020; SRC_PEPTIDE_STACK_FAMILIES
HPX_013,all_hormone_patients,Immune/inflammatory wellness request,"immune resilience, inflammatory balance, post-viral wellness",FAM08_IMMUNE_INFLAMMATORY,Thymosin alpha-1 + LL-37 ± thymulin/tuftsin,Immune nutrient IV; vitamin C; trace minerals; glutathione; B-complex/B12,caution_provider_review,active infection/fever/hypoxia; autoimmune/immunosuppression context; cancer review; vitamin C renal/G6PD,No treatment/prevention of infection; no immune boost guarantee,SRC_PEPTIDE_STACK_FAMILIES
