source_id,source_type,title,url_or_file,supports_claim,does_not_support,evidence_directness
SRC_UPLOAD_DEMATOS_BHRT,uploaded_internal_patient_plan,RenuviaMD DeMatos BHRT Protocol,/mnt/data/RenuviaMD_DeMatos_BHRT_Protocol.pdf,"Patient-facing BHRT roadmap structure: labs, hormone plan, supplements, nutrition/exercise, follow-up, action checklist.",Does not establish external evidence for all claims; needs guideline audit and safer language in places.,internal_structure_reference
SRC_UPLOAD_SULEIKA_MHT,uploaded_internal_clinical_protocol,RenuviaMD Suleika Menopause Protocol,/mnt/data/RenuviaMD_Suleika_MenopauseProtocol.pdf,"Clinical protocol structure: symptom map, MHT/nonhormonal options, supplement tiers, diet/exercise, visit cadence, lab monitoring.",Does not establish external evidence for every dose/supplement claim; needs source audit per row.,internal_structure_reference
SRC_NAMS_2022_HT,position_statement,NAMS 2022 HT position statement,https://pubmed.ncbi.nlm.nih.gov/35797481/,HT remains most effective for VMS/GSM and prevents bone loss/fracture; risks vary by route/type/duration/timing/progestogen.,Does not prove peptide synergy with MHT/BHRT.,direct menopause HT framework
SRC_GLOBAL_T_WOMEN_2019,consensus_statement,Global consensus testosterone therapy for women,https://academic.oup.com/jcem/article/104/10/4660/5556103,Only evidence-based indication for testosterone therapy in women is postmenopausal HSDD after biopsychosocial assessment.,Does not support testosterone for general energy/mood/cognition/weight loss in women.,direct female testosterone guardrail
SRC_ENDOCRINE_MEN_T_2018,clinical_guideline,Endocrine Society testosterone therapy in men,https://www.endocrine.org/clinical-practice-guidelines/testosterone-therapy,Men's testosterone therapy requires symptoms/signs plus consistently low testosterone and safety exclusions/monitoring.,Does not support testosterone for wellness goals alone.,direct male testosterone safety/eligibility
SRC_AUA_TD,urology_guideline,AUA testosterone deficiency guideline,https://www.auanet.org/guidelines-and-quality/guidelines/testosterone-deficiency-guideline,AUA supports TT <300 ng/dL as diagnostic support with symptoms/signs.,Does not support treating lab value alone.,direct diagnostic support
SRC_ACP_LOW_T_2020,clinical_guideline,ACP age-related low testosterone guideline,https://pubmed.ncbi.nlm.nih.gov/31905405/,ACP recommends against testosterone for age-related low T when goal is energy/vitality/physical function/cognition.,Does not cover all organic hypogonadism cases.,direct wellness claim guardrail
SRC_FDA_T_2025,FDA_safety_update,FDA 2025 testosterone label update,https://www.fda.gov/drugs/drug-alerts-and-statements/fda-issues-class-wide-labeling-changes-testosterone-products,Adds/updates BP warning and TRAVERSE CV context.,Does not make TRT risk-free.,direct safety context
SRC_HHS_T_2026,HHS/FDA_requested_update,HHS 2026 testosterone labeling update request,https://www.hhs.gov/press-room/fda-requests-updates-testosterone-therapy-labeling.html,Updates prostate/BPH context while preserving screening/monitoring recommendations.,Does not remove prostate/BPH review needs.,current safety/evidence context
SRC_PEPTIDE_STACK_FAMILIES,internal_CDS,Peptide Stack Family Master v1,/mnt/data/peptide_stack_family_master_v1.jsonl,Nine non-overlapping peptide stack families and IV/IM support families.,Does not prove clinical outcomes or hormone synergy.,internal_CDS_structure
