source_id,source_type,title,url,supports_claim,does_not_support,evidence_directness
SRC_DAILYMED_SEMAGLUTIDE,label_safety_pharmacology,DailyMed Ozempic / semaglutide label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=adec4fd2-6858-4c99-91d4-531f5f2a2d79,"GLP-1 gastric emptying, GI adverse effects, dehydration/AKI safety context.",Does not prove IV/IM support improves weight loss or GLP efficacy.,direct for safety/pharmacology; indirect for wellness support
SRC_DAILYMED_TIRZEPATIDE,label_safety_pharmacology,DailyMed Mounjaro / tirzepatide label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d2d7da5d-ad07-4228-955f-cf7e355c8cc0,"GIP/GLP axis, gastric-emptying and oral-medication absorption context, hypoglycemia-risk medication context.",Does not prove IV/IM support improves GIP/GLP outcomes.,direct for safety/pharmacology; indirect for wellness support
SRC_RETATRUTIDE_NEJM_2023,human_phase2_trial,"Retatrutide for Obesity, NEJM 2023",https://www.nejm.org/doi/full/10.1056/NEJMoa2301972,Retatrutide is a GIP/GLP-1/glucagon receptor agonist with high market interest and GI adverse-signal context.,Does not prove stacking or IV/IM support efficacy.,direct for retatrutide axis and trial evidence; indirect for support
SRC_DAILYMED_TESAMORELIN,label_safety_pharmacology,DailyMed Egrifta SV / tesamorelin label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3d783378-b02d-4f19-99dd-0fc91a042224,Tesamorelin increases IGF-1 and has glucose/retinopathy monitoring relevance.,Does not prove IV amino/recovery support improves GH peptide outcomes.,direct for GH/IGF-1 safety/lab axis
SRC_CJC1295_HUMAN_GH_IGF,human_pharmacodynamic_study,CJC-1295 increases GH and IGF-1 in healthy adults,https://pubmed.ncbi.nlm.nih.gov/16352683/,CJC-1295 has human GH/IGF-1 biomarker evidence.,Does not prove wellness outcomes or IV support efficacy.,direct for biomarker axis; indirect for wellness stack
SRC_MOTSC_REVIEW_2023,peer_reviewed_review,MOTS-c: A promising mitochondrial-derived peptide for therapeutic exploitation,https://pmc.ncbi.nlm.nih.gov/articles/PMC9905433/,MOTS-c maps to mitochondrial/metabolic/AMPK energy biology.,Does not prove NAD/NR/glutathione IV synergy.,mechanistic/axis evidence
SRC_SS31_REVIEW,peer_reviewed_review,SS-31 mitochondrial-targeting peptide review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9192202/,SS-31 maps to mitochondrial redox/cardiolipin biology.,Does not prove wellness IV synergy.,mechanistic/axis evidence
SRC_GHK_CU_REVIEW,peer_reviewed_review,GHK-Cu skin repair/remodeling review,https://pmc.ncbi.nlm.nih.gov/articles/PMC6073405/,"GHK-Cu maps to skin repair, extracellular matrix, collagen/glycosaminoglycan and remodeling biology.",Does not prove biotin/vitamin C/glutathione IV enhances GHK-Cu outcomes.,mechanistic/direct for skin axis; indirect for IV support
SRC_BREMELANOTIDE_DAILYMED,label_safety_pharmacology,DailyMed Vyleesi / bremelanotide label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8c9607a2-5b57-4a59-b159-cf196deebdd9,Bremelanotide/PT-141 axis has BP/HR safety relevance.,Does not prove IV support improves sexual response.,direct for safety axis
SRC_KISSPEPTIN_HUMAN_LH,human_mechanistic_endocrine_study,Kisspeptin-10 stimulates LH/FSH reproductive hormone release,https://pmc.ncbi.nlm.nih.gov/articles/PMC3232613/,Kisspeptin maps to HPG/GnRH/LH/FSH axis.,Does not prove sexual outcome or IV support synergy.,direct for endocrine axis; indirect for wellness use
