review_item_id,run_id,date_detected,target_library,affected_record_id,change_class,risk_class,summary,source_ids,evidence_directness,proposed_action,clinician_decision,reviewer,review_date,notes
ops-20260630T0754-1,ops-20260630T0754,2026-06-30,watchlist:retatrutide,,NEW_EVIDENCE,low,"22 new PubMed item(s) (60d) for 'retatrutide' — review for relevance to the locked protocols. PMIDs: 42371360,42318576,42296503,42264536,42250575",SRC_NCBI_PUBMED_EUTILITIES,insufficient,"Literature Sentinel: triage new papers; downgrade/flag, do not auto-apply",,,,requires_signoff
ops-20260630T0754-2,ops-20260630T0754,2026-06-30,watchlist:retatrutide,,NEW_EVIDENCE,low,12 ClinicalTrials.gov study(ies) updated (90d) for 'retatrutide' — trial activity only unless results posted/audited.,SRC_CLINICALTRIALS_API,insufficient,"Trial Sentinel: check status/results; activity only, no efficacy claim",,,,requires_signoff
ops-20260630T0754-3,ops-20260630T0754,2026-06-30,watchlist:tirzepatide,,NEW_EVIDENCE,low,"314 new PubMed item(s) (60d) for 'tirzepatide' — review for relevance to the locked protocols. PMIDs: 42373755,42373761,42372355,42369846,42365594",SRC_NCBI_PUBMED_EUTILITIES,insufficient,"Literature Sentinel: triage new papers; downgrade/flag, do not auto-apply",,,,requires_signoff
ops-20260630T0754-4,ops-20260630T0754,2026-06-30,watchlist:tirzepatide,,NEW_EVIDENCE,low,97 ClinicalTrials.gov study(ies) updated (90d) for 'tirzepatide' — trial activity only unless results posted/audited.,SRC_CLINICALTRIALS_API,insufficient,"Trial Sentinel: check status/results; activity only, no efficacy claim",,,,requires_signoff
ops-20260630T0754-5,ops-20260630T0754,2026-06-30,watchlist:nicotinamide riboside intravenous,,NEW_EVIDENCE,low,1 new PubMed item(s) (60d) for 'nicotinamide riboside intravenous' — review for relevance to the locked protocols. PMIDs: 42358367,SRC_NCBI_PUBMED_EUTILITIES,insufficient,"Literature Sentinel: triage new papers; downgrade/flag, do not auto-apply",,,,requires_signoff
ops-20260630T0754-6,ops-20260630T0754,2026-06-30,watchlist:BPC-157,,NEW_EVIDENCE,low,"6 new PubMed item(s) (60d) for 'BPC-157' — review for relevance to the locked protocols. PMIDs: 42356491,42328738,42278509,42204242,42198317",SRC_NCBI_PUBMED_EUTILITIES,insufficient,"Literature Sentinel: triage new papers; downgrade/flag, do not auto-apply",,,,requires_signoff
ops-20260630T0754-7,ops-20260630T0754,2026-06-30,watchlist:tesamorelin,,NEW_EVIDENCE,low,"3 new PubMed item(s) (60d) for 'tesamorelin' — review for relevance to the locked protocols. PMIDs: 42160466,42139091,42139090",SRC_NCBI_PUBMED_EUTILITIES,insufficient,"Literature Sentinel: triage new papers; downgrade/flag, do not auto-apply",,,,requires_signoff
ops-20260630T0754-8,ops-20260630T0754,2026-06-30,watchlist:tesamorelin,,NEW_EVIDENCE,low,2 ClinicalTrials.gov study(ies) updated (90d) for 'tesamorelin' — trial activity only unless results posted/audited.,SRC_CLINICALTRIALS_API,insufficient,"Trial Sentinel: check status/results; activity only, no efficacy claim",,,,requires_signoff
ops-20260630T0754-9,ops-20260630T0754,2026-06-30,watchlist:bremelanotide PT-141,,NEW_EVIDENCE,low,"4 new PubMed item(s) (60d) for 'bremelanotide PT-141' — review for relevance to the locked protocols. PMIDs: 42340853,42254382,42041173,41960633",SRC_NCBI_PUBMED_EUTILITIES,insufficient,"Literature Sentinel: triage new papers; downgrade/flag, do not auto-apply",,,,requires_signoff
ops-20260630T0754-10,ops-20260630T0754,2026-06-30,watchlist:MOTS-c,,NEW_EVIDENCE,low,"13 new PubMed item(s) (60d) for 'MOTS-c' — review for relevance to the locked protocols. PMIDs: 42349896,42324588,42321010,42278864,42266945",SRC_NCBI_PUBMED_EUTILITIES,insufficient,"Literature Sentinel: triage new papers; downgrade/flag, do not auto-apply",,,,requires_signoff
ops-20260630T0754-11,ops-20260630T0754,2026-06-30,watchlist:MOTS-c,,NEW_EVIDENCE,low,2 ClinicalTrials.gov study(ies) updated (90d) for 'MOTS-c' — trial activity only unless results posted/audited.,SRC_CLINICALTRIALS_API,insufficient,"Trial Sentinel: check status/results; activity only, no efficacy claim",,,,requires_signoff
ops-20260630T0754-12,ops-20260630T0754,2026-06-30,protocols/iv-module.json,,VALIDATION_GAP,medium,"WEL-16/ING_NIAGEN_NR rest heavily on Reyna 2026 (Front Aging, n=14, only 8 NR) + a non-peer-reviewed medRxiv preprint (Hawkins 2024). The DOI/PMC IDs (fragi.2026.1652582 / PMC12907335) and the medRxiv DOI cannot be independently confirmed in this offline pass; if any ID is fabricated or mis-stated, the 500 mg/30–45 min standing-order parameters lose their only direct support.",,direct,"Flag NR citations for live re-verification (resolve Reyna DOI/PMC + Hawkins medRxiv DOI against the live record). Until confirmed, keep WEL-16 evidence_confidence as 'moderate tolerability / low outcomes' and do not strengthen. No auto-publish.",,,,requires_signoff
ops-20260630T0754-13,ops-20260630T0754,2026-06-30,protocols/iv-module.json,,PROTOCOL_DRIFT,medium,"Module meta.status is 'locked' and WEL-16 promoted to in_primary_library:true on stated MD sign-off (2026-06-29), but its strongest direct human evidence is a single small retrospective + one preprint. Promotion of preprint-grade evidence into the primary library is a posture/precedent drift worth explicit clinician confirmation.",,direct,Confirm MD intended full primary-library promotion (vs. retaining market_additions/DRAFT status) given preprint-grade evidence. Document rationale; otherwise revert WEL-16 to in_primary_library:false pending stronger evidence.,,,,requires_signoff
ops-20260630T0754-14,ops-20260630T0754,2026-06-30,protocols/iv-module.json,,SOURCE_STALE,low,Active-trials list cites 'NCT06382688 (IV NR vs NAD+)' plus unspecified SC/IM NR trials. Trial registry = trial-activity-only; NCT ID and arm description unverifiable offline and must not imply efficacy.,,insufficient,"Re-verify NCT06382688 exists and matches the stated design on a live pass; keep labeled trial-activity-only; the module already says 'confirm current NCT IDs' — retain that caveat, add last-verified gate.",,,,
ops-20260630T0754-15,ops-20260630T0754,2026-06-30,protocols/iv-module.json,,SOURCE_STALE,low,"FDA 503B Category-I status for nicotinamide riboside chloride and the USP NRCl monograph (C_NIAGEN_503B) are cited as regulatory/sourcing context with 'must_verify:true' and last_verified 2026-06-24. This is advisory/market-availability framing (compliant per rules: no approval gate), but the underlying status is time-sensitive and unverified this pass.",,commercial_market,Re-verify FDA 503B Category-I interim list + USP monograph status on next live pass; retain advisory/disclaimer-only posture and the explicit 'VERIFY current FDA 503B status' language. No regulatory decision logic added.,,,,
ops-20260630T0754-16,ops-20260630T0754,2026-06-30,protocols/iv-module.json,,CONFLICT,low,"IV-11 standing-order label historically printed 'Cr' (chromium) in the trace blend, which MASTER-MENU §3.3 (Zn+Cu+Mn+Se, no Cr) overrides. Documented source-of-truth conflict is correctly resolved in-module but should be confirmed so the Cr discrepancy is not reintroduced.",,direct,Confirm MASTER-MENU-01 v3.3 §3.3 composition governs and the 'Cr' label print is a known legacy artifact; no clinical change—document resolution.,,,,
ops-20260630T0754-17,ops-20260630T0754,2026-06-30,protocols/iv-module.json,,VALIDATION_GAP,high,"Methylene Blue carries a high-stakes serotonin-syndrome / G6PD / pulse-ox guardrail (in_primary_library:false). Content matches known MAO-A-inhibitor risk, but no primary citation is attached to this high-caution agent within the module.",,mechanistic,Add a direct label/safety citation supporting the MB serotonin-syndrome and G6PD-hemolysis warnings; verify SpO2-interference and serotonergic-opioid washout language against current labeling. Guardrail content unchanged pending citation attachment.,,,,requires_signoff
ops-20260630T0754-18,ops-20260630T0754,2026-06-30,protocols/iv-module.json,,VALIDATION_GAP,medium,ALA guardrail asserts specific HLA alleles (DRB1*04:06 Asian / *04:03 European) as IAS predisposition without an attached citation in-module; claim is accurate to literature but uncited here.,,mechanistic,"Attach a direct citation for the ALA/insulin-autoimmune-syndrome HLA association; until cited, keep as cautionary advisory (already in_primary_library:false). No dose/clinical change.",,,,requires_signoff
ops-20260630T0754-19,ops-20260630T0754,2026-06-30,protocols/peptide-module.json,,VALIDATION_GAP,low,"PT-141/Vyleesi absolute lists 'Hypersensitivity to bremelanotide or any component' but the Vyleesi label's stated contraindications are limited; broader CV-disease absolutes are label-grounded — verify the exact absolute-contraindication wording against current Vyleesi label (uncontrolled HTN, known CVD, hypersensitivity all label-cited). Low risk, but confirm directness.",,direct,Re-audit PT-141 absolute/relative lines against current DailyMed Vyleesi label; confirm naltrexone-DDI tagged (VERIFY) is accurate (label notes naltrexone level reduction). Add validation case asserting each PT-141 absolute maps to a label statement.,,,,requires_signoff
ops-20260630T0754-20,ops-20260630T0754,2026-06-30,protocols/peptide-module.json,,SOURCE_STALE,medium,SS-31/elamipretide is tagged evidence_status FDA_LABEL with FORZINITY/Barth syndrome 2025 approval and 'SC only — not approved for IV'. Approval details and route restriction are clinical-logic-bearing and should be label-verified; FORZINITY approval/label specifics could not be re-verified in this no-fetch pass.,,direct,"Flag FORZINITY (elamipretide) label claims (approval, Barth indication, SC-only route, benzyl-alcohol/neonate warning) for live label re-verification at next source fetch; until verified, retain advisory posture. Add validation case for route restriction and benzyl-alcohol warning.",,,,requires_signoff
ops-20260630T0754-21,ops-20260630T0754,2026-06-30,protocols/peptide-module.json,,PROTOCOL_DRIFT,low,Retatrutide monitoring has no baseline-tagged item despite continuous GLP-1 cadence text; disclosed via monitoring_note but constitutes a protocol drift between cadence statement and tagged monitoring array.,,mechanistic,Route to monitoring-map.json lock to add baseline-tagged HR/glucose/renal items; do not auto-edit clinical logic here. Add validation case asserting continuous-cadence agents carry >=1 baseline-tagged monitoring item.,,,,requires_signoff
