source_id,source_type,title,url,supports_claim,does_not_support,evidence_directness,last_verified
SRC_RETATRUTIDE_NEJM_2023,human_phase2_trial,Jastreboff et al. Triple-Hormone-Receptor Agonist Retatrutide for Obesity. NEJM 2023.,https://www.nejm.org/doi/full/10.1056/NEJMoa2301972,Retatrutide is a triple GIP/GLP-1/glucagon receptor agonist in phase 2 obesity trial; most common adverse events were gastrointestinal and dose-related; heart-rate increases were observed.,Does not prove IV therapy improves retatrutide efficacy or tolerability.,direct for retatrutide axis and adverse-signal context; indirect for IV support logic,2026-06-28
SRC_TIRZEPATIDE_DAILYMED_GI_ORAL_ABS,label_pharmacology_safety,DailyMed Mounjaro / tirzepatide label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d2d7da5d-ad07-4228-955f-cf7e355c8cc0,Tirzepatide delays gastric emptying and may affect oral medication absorption; GI effects and hypoglycemia-risk context with insulin/secretagogues are clinically relevant.,Does not prove IV infusion supports GLP-1/GIP therapy.,direct for GLP/GIP class pharmacology; indirect for retatrutide support logic,2026-06-28
SRC_SEMAGLUTIDE_DAILYMED_AKI_DEHYDRATION,label_safety,DailyMed Ozempic / semaglutide label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=adec4fd2-6858-4c99-91d4-531f5f2a2d79,Semaglutide label warns about dehydration associated with GI adverse reactions and acute kidney injury risk; patients should avoid fluid depletion and report persistent nausea/vomiting/diarrhea.,Does not prove routine IV hydration is required for all incretin patients.,direct for GI/dehydration/renal-risk logic; indirect for IV support trigger,2026-06-28
SRC_TESAMORELIN_DAILYMED_IGF_GLUCOSE,label_pharmacology_safety,DailyMed Egrifta SV / tesamorelin label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3d783378-b02d-4f19-99dd-0fc91a042224,Tesamorelin increases IGF-1 and can result in glucose intolerance/diabetes; IGF-1 and glycemic monitoring are clinically relevant.,"Does not prove amino-acid, NAD, or hydration IV improves tesamorelin or ipamorelin outcomes.",direct for GH/IGF-1 axis safety/lab context; indirect for IV support,2026-06-28
SRC_MOTS_C_REVIEW_2023,peer_reviewed_review,MOTS-c: A promising mitochondrial-derived peptide for therapeutic exploitation. 2023 review.,https://pmc.ncbi.nlm.nih.gov/articles/PMC9905433/,MOTS-c is a mitochondrial-derived peptide with preclinical/metabolic/AMPK-related mechanistic literature and possible metabolic relevance.,Does not prove IV NAD/NR or glutathione improves MOTS-c efficacy or clinical outcomes.,mechanistic/indirect for mitochondrial-axis classification,2026-06-28
SRC_MOTS_C_CLINICALTRIALS_2026,clinical_trial_registry,ClinicalTrials.gov NCT07505745: MOTS-c for improving insulin sensitivity in adults with prediabetes,https://clinicaltrials.gov/study/NCT07505745,Human clinical trial activity exists for MOTS-c and insulin-sensitivity endpoints.,"Trial registration is not proof of efficacy, safety, dosing superiority, or IV support synergy.","human research signal only, not outcome evidence",2026-06-28
SRC_FRONTIERS_NR_NAD_IV_2026,peer_reviewed_human_retrospective_study,Reyna et al. 2026: Intravenous infusion of NAD+ versus NR tolerability pilot,https://www.frontiersin.org/journals/aging/articles/10.3389/fragi.2026.1652582/full,NR IV and NAD+ IV have preliminary real-world human tolerability data; NR IV had shorter infusion times and milder transient symptoms than NAD+ IV in this retrospective pilot.,"Does not prove anti-aging, disease treatment, durable outcomes, or peptide-combination benefit.",direct for NAD/NR IV tolerability; indirect for mitochondrial peptide support,2026-06-28
SRC_NIAGEN_PLUS_IDENTITY,manufacturer_commercial_identity_source,Niagen Plus product identity,https://www.niagenplus.com/,"Identifies Niagen as nicotinamide riboside chloride / NR, a NAD+ precursor, used in clinician-administered IV/IM offerings.",Does not independently prove clinical outcomes or peptide synergy.,direct for product identity only,2026-06-28
SRC_NIH_ODS_B12_HP,NIH_nutrient_reference,NIH ODS Vitamin B12 Fact Sheet for Health Professionals,https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/,"B12 deficiency risk is associated with malabsorption, GI surgery, prolonged metformin/PPI use, dietary deficiency; deficiency can cause fatigue and neurologic/hematologic symptoms.",Does not validate B12 infusion/injection as generic energy or peptide-enhancement therapy.,direct for B12 risk trigger logic,2026-06-28
SRC_NIH_ODS_MAGNESIUM_HP,NIH_nutrient_reference,NIH ODS Magnesium Fact Sheet for Health Professionals,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,Magnesium toxicity risk increases with impaired renal function/kidney failure.,Does not prove magnesium IV supports peptide therapy.,direct for magnesium safety screening,2026-06-28
SRC_MSD_MYERS_IV_EVIDENCE_LIMIT,clinical_reference_review,MSD/Merck Manual: Intravenous Vitamin Therapy / Myers' Cocktail,https://www.msdmanuals.com/home/special-subjects/dietary-supplements-and-vitamins/intravenous-vitamin-therapy-myers-cocktail,"IV vitamin therapy is used in wellness settings but broad benefits are not confirmed; kidney disease, hypertension, heart conditions, pregnancy/breastfeeding and medication interactions are caution contexts.",Does not validate generic IV wellness drips or peptide support claims.,direct for evidence-limit and safety-caution posture,2026-06-28
