source_id,title,source_type,url,supports_claim,does_not_support,evidence_directness
SRC_OZEMPIC_DAILYMED_GI_ORAL_ABS,DailyMed Ozempic / semaglutide label,label_safety_pharmacology,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=adec4fd2-6858-4c99-91d4-531f5f2a2d79,"Semaglutide common adverse reactions include nausea, vomiting, diarrhea, abdominal pain and constipation; semaglutide delays gastric emptying and may affect absorption of oral medications.",Does not prove IV/IM support improves GLP-1 efficacy or weight loss.,direct for GLP-1 GI/oral absorption axis; indirect for wellness support
SRC_WEGOVY_DAILYMED_DEHYDRATION_AKI,DailyMed Wegovy / semaglutide label,label_safety,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f5e548d0-cc79-4c34-a3f5-e20a5b8b6564,"In people with kidney problems, diarrhea, nausea and vomiting may cause dehydration and worsen kidney problems; hydration precautions are relevant.",Does not mean routine IV hydration is indicated for every patient.,direct for dehydration/renal-risk gate; indirect for hydration support
SRC_TIRZEPATIDE_DAILYMED_GASTRIC_EMPTYING,DailyMed Mounjaro / tirzepatide label,label_safety_pharmacology,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d2d7da5d-ad07-4228-955f-cf7e355c8cc0,Tirzepatide delays gastric emptying and may affect oral medication absorption; hypoglycemia risk increases with insulin/secretagogues.,Does not prove IV support improves GLP/GIP outcomes.,direct for GIP/GLP gastric emptying and hypoglycemia-risk context
SRC_ZEPBOUND_DAILYMED_ORAL_CONTRACEPTIVE,DailyMed Zepbound / tirzepatide label,label_safety_pharmacology,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=487cd7e7-434c-4925-99fa-aa80b1cc776b,Tirzepatide delays gastric emptying and can affect absorption of concomitant oral medications; oral hormonal contraceptive efficacy context is specifically addressed in labeling.,Does not support IV treatment of drug absorption issues.,direct for oral absorption/contraceptive review gate
SRC_NIH_ODS_B12_HP,NIH ODS Vitamin B12 Fact Sheet for Health Professionals,NIH_nutrient_reference,https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/,"B12 is relevant to neurologic/hematologic function; metformin/PPI use, malabsorption, GI surgery and restricted diets are deficiency-risk modifiers.",Does not prove B12 is a guaranteed energy booster in nondeficient clients.,direct for B12 biology/risk; indirect for wellness energy support
SRC_NIH_ODS_BIOTIN_HP,NIH ODS Biotin Fact Sheet for Health Professionals,NIH_nutrient_reference,https://ods.od.nih.gov/factsheets/Biotin-HealthProfessional/,Biotin is involved in carboxylase enzyme function and marketed for hair/skin/nails; evidence outside deficiency is limited; lab-test interference is important.,Does not prove hair regrowth or GLP support outcome in nondeficient clients.,direct for nutrient biology and lab interference; limited for aesthetic outcomes
SRC_FDA_BIOTIN_LAB_INTERFERENCE,FDA: Biotin Interference with Troponin Lab Tests,FDA_safety_communication,https://www.fda.gov/medical-devices/in-vitro-diagnostics/biotin-interference-troponin-lab-tests-assays-subject-biotin-interference,Biotin can interfere with certain lab tests including troponin and may cause falsely low results.,Does not prohibit all biotin wellness use.,direct for safety gate
SRC_NIH_ODS_MAGNESIUM_HP,NIH ODS Magnesium Fact Sheet for Health Professionals,NIH_nutrient_reference,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,Magnesium is involved in energy production and neuromuscular function; toxicity risk increases with impaired renal function.,Does not prove magnesium IV improves GLP outcomes.,direct for nutrient biology and safety gate
SRC_MSD_MYERS_LIMITS,MSD/Merck Manual: IV vitamin therapy / Myers' cocktail,clinical_reference_review,https://www.msdmanuals.com/home/special-subjects/dietary-supplements-and-vitamins/intravenous-vitamin-therapy-myers-cocktail,"IV vitamin therapy is used in wellness settings; broad benefits are not confirmed; kidney disease, hypertension, heart conditions, pregnancy/breastfeeding and medication interactions are caution contexts.",Does not validate GLP-specific IV efficacy.,direct for evidence-limit and safety posture
SRC_NIH_ODS_VITAMIN_C_HP,NIH ODS Vitamin C Fact Sheet for Health Professionals,NIH_nutrient_reference,https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,Vitamin C has collagen/antioxidant biology; high intake has renal/oxalate considerations.,Does not prove GLP-related hair/skin support or weight-loss benefit.,direct for nutrient biology/safety; indirect for wellness support
